都市コード,都市名,国名
LVI,LIVINGSTONE,Zambia
LVK,LIVERMORE,United States of America
LVO,LAVERTON,Australia
LVR,BOM FUTURO,Brazil
LVR,BOM FUTURO,Brazil
LWB,LEWISBURG,United States of America
LWC,LAWRENCE,United States of America
LWE,LEWOLEBA,Indonesia
LWH,LAWN HILL,Australia
LWI,LOWAI,Papua New Guinea
LWN,GYUMRI,Armenia
LWO,LVIV,Ukraine
LWS,LEWISTON,United States of America
LWT,LEWISTOWN,United States of America
LWY,LAWAS,Malaysia
LXA,LHASA/LASA,"China, People’s Republic of"
LXG,LUANG NAMTHA,Lao People’s Dem. Rep.
LXR,LUXOR,Egypt
LXS,LEMNOS,Greece
LXU,LUKULU,Zambia
LXV,LEADVILLE,United States of America
LYA,LUOYANG,"China, People’s Republic of"
LYB,LITTLE CAYMAN,Cayman Islands
LYC,LYCKSELE,Sweden
LYG,LIANYUNGANG,"China, People’s Republic of"
LYH,LYNCHBURG,United States of America
LYI,LINYI,"China, People’s Republic of"
LYK,LUNYUK,Indonesia
LYP,FAISALABAD,Pakistan
LYR,LONGYEARBYEN,Svalbard and Jan Mayen Islands
LYS,LYON,France
LYU,ELY,United States of America
LYX,LYDD,United Kingdom
LZC,LAZARO CARDENAS,Mexico
LZH,LIUZHOU,"China, People’s Republic of"
LZN,MATSU (NANGAN),Chinese Taipei
LZO,LUZHOU,"China, People’s Republic of"
LZR,LIZARD ISLAND,Australia
LZY,NYINGCHI/LINZHI,"China, People’s Republic of"
MAA,CHENNAI,India (including Andaman Isl.)
MAB,MARABA,Brazil
MAD,MADRID,Spain and Canary Islands
MAF,MIDLAND,United States of America
MAF,ODESSA,United States of America
MAG,MADANG,Papua New Guinea
MAH,MENORCA,Spain and Canary Islands
MAI,MANGOCHI,Malawi
MAJ,MAJURO,Marshall Islands
MAK,MALAKAL,South Sudan
MAL,MANGOLE,Indonesia
MAM,MATAMOROS,Mexico
MAN,MANCHESTER,United Kingdom
MAO,MANAUS,Brazil
MAP,MAMAI,Papua New Guinea
MAQ,MAE SOT,Thailand
MAR,MARACAIBO,Venezuela
MAS,MANUS ISLAND,Papua New Guinea
MAT,MATADI,"Congo, Democratic Republic of"
MAU,MAUPITI,French Polynesia
MAV,MALOELAP ATOLL,Marshall Islands
MAX,MATAM,Senegal
MAY,MANGROVE CAY,Bahamas
MAZ,MAYAGUEZ,Puerto Rico
MBA,MOMBASA,Kenya
MBB,MARBLE BAR,Australia
MBC,MBIGOU,Gabon
MBD,MMABATHO/MAFIKENG,South Africa
MBE,MONBETSU,Japan
MBH,MARYBOROUGH,Australia
MBI,MBEYA,Tanzania
MBJ,MONTEGO BAY,Jamaica
MBL,MANISTEE,United States of America
MBM,MKAMBATI,South Africa
MBO,MAMBURAO,Philippines
MBP,MOYOBAMBA,Peru
MBQ,MBARARA,Uganda
MBR,MBOUT,Mauritania
MBS,BAY CITY,United States of America
MBS,MIDLAND,United States of America
MBS,SAGINAW,United States of America
MBT,MASBATE,Philippines
MBU,MBAMBANAKIRA,Solomon Islands
MBV,MASA,Papua New Guinea
MBW,MOORABBIN,Australia
MBX,MARIBOR,Slovenia
MBZ,MAUES,Brazil
MCA,MACENTA,Guinea
MCD,MACKINAC ISLAND,United States of America
MCE,MERCED,United States of America
MCG,MCGRATH,United States of America
MCH,MACHALA,Ecuador
MCJ,MAICAO,Colombia
MCK,MCCOOK,United States of America
MCL,MT MCKINLEY,United States of America
MCM,MONACO,Monaco
MCN,MACON,United States of America
MCP,MACAPA,Brazil
MCR,MELCHOR DE MENCO,Guatemala
MCS,MONTE CASEROS,Argentina
MCT,MUSCAT,Oman
MCU,MONTLUCON,France
MCV,MCARTHUR RIVER MINE,Australia
MCW,MASON CITY,United States of America
MCX,MAKHACHKALA,Russia (in Europe)
MCY,SUNSHINE COAST,Australia
MCZ,MACEIO,Brazil
MDB,MELINDA,Belize
MDC,MANADO,Indonesia
MDE,MEDELLIN,Colombia
MDF,MEDFORD,United States of America
MDG,MUDANJIANG,"China, People’s Republic of"
MDH,CARBONDALE,United States of America
MDI,MAKURDI,Nigeria
MDJ,MADRAS,United States of America
MDK,MBANDAKA,"Congo, Democratic Republic of"
MDL,MANDALAY,Myanmar
MDM,MUNDUKU,Papua New Guinea
MDO,MIDDLETON ISLAND,United States of America
MDP,MINDIPTANA,Indonesia
MDQ,MAR DEL PLATA,Argentina
MDR,MEDFRA,United States of America
MDS,MIDDLE CAICOS,Turks and Caicos Islands
MDU,MENDI,Papua New Guinea
MDV,MEDOUNEU,Gabon
MDX,MERCEDES,Argentina
MDY,SAND ISLAND,"United States Minor Outlying Islands (includes Johnston Atoll, Midway Islands, Wake Is.)"
MDZ,MENDOZA,Argentina
MEA,MACAE,Brazil
MEC,MANTA,Ecuador
MED,MADINAH,Saudi Arabia
MEE,MARE,New Caledonia (including Loyalty Islands)
MEG,MALANJE,Angola
MEH,MEHAMN,Norway
MEI,MERIDIAN,United States of America
MEJ,MEADVILLE,United States of America
MEL,MELBOURNE,Australia
MEM,MEMPHIS,United States of America
MEP,MERSING,Malaysia
MEQ,CUT NYAK DIEN,Indonesia
MES,MEDAN,Indonesia
MET,MORETON,Australia
MEU,MONTE DOURADO,Brazil
MEV,MINDEN,United States of America
MEX,MEXICO CITY,Mexico
MEY,MEGHAULI,Nepal
MEZ,MESSINA,South Africa
MFA,MAFIA ISLAND,Tanzania
MFB,MONFORT,Colombia
MFC,MAFETENG,Lesotho
MFD,MANSFIELD,United States of America
MFE,MCALLEN,United States of America
MFE,MISSION,United States of America
MFF,MOANDA,Gabon
MFG,MUZAFFARABAD,Pakistan
MFI,MARSHFIELD,United States of America
MFJ,MOALA ISLAND,Fiji
MFK,MATSU (BEIGAN),Chinese Taipei
MFM,MACAO,"Macao (SAR), China"
MFN,MILFORD SOUND,New Zealand
MFO,MANGUNA,Papua New Guinea
MFP,MANNERS CREEK STATION,Australia
MFQ,MARADI,Niger
MFR,MEDFORD,United States of America
MFS,MIRAFLORES,Colombia
MFT,MACHU PICHU,Peru
MFU,MFUWE,Zambia
MFW,MAGARUQUE ISLAND,Mozambique
MFZ,MESELIA,Papua New Guinea
MGA,MANAGUA,Nicaragua
MGB,MOUNT GAMBIER,Australia
MGC,MICHIGAN CITY,United States of America
MGD,MAGDALENA,Bolivia
MGF,MARINGA,Brazil
MGG,MARGARIMA,Papua New Guinea
MGH,MARGATE,South Africa
MGK,MONG TON,Myanmar
MGM,MONTGOMERY,United States of America
MGN,MAGANGUE,Colombia
MGP,MANGA,Papua New Guinea
MGQ,MOGADISHU,Somalia
MGR,MOULTRIE,United States of America
MGS,MANGAIA ISLAND,Cook Islands
MGT,MILINGIMBI ISLAND,Australia
MGV,MARGARET RIVER STATION,Australia
MGW,MORGANTOWN,United States of America
MGX,MOABI,Gabon
MGZ,MYEIK,Myanmar
MHA,MAHDIA,Guyana
MHD,MASHHAD,Iran (Islamic Republic of)
MHE,MITCHELL,United States of America
MHF,MORICHAL,Colombia
MHG,MANNHEIM,Germany
MHH,MARSH HARBOUR,Bahamas
MHJ,MISRAK GASHAMO,Ethiopia
MHK,MANHATTAN,United States of America
MHO,MOUNT HOUSE,Australia
MHQ,MARIEHAMN,Finland
MHT,MANCHESTER,United States of America
MHU,MOUNT HOTHAM,Australia
MHX,MANIHIKI ATOLL,Cook Islands
MHY,MOREHEAD,Papua New Guinea
MIA,MIAMI,United States of America
MID,MERIDA,Mexico
MIE,MUNCIE,United States of America
MIG,MIANYANG,"China, People’s Republic of"
MIH,MITCHELL PLATEAU,Australia
MII,MARILIA,Brazil
MIJ,MILI ISLAND,Marshall Islands
MIK,MIKKELI,Finland
MIL,MILAN,Italy
MIM,MERIMBULA,Australia
MIN,MINNIPA,Australia
MIP,MITSPEH RAMON,Israel
MIR,MONASTIR,Tunisia
MIS,MISIMA ISLAND,Papua New Guinea
MIU,MAIDUGURI,Nigeria
MJA,MANJA,Madagascar
MJB,MEJIT ISLAND,Marshall Islands
MJC,MAN,Cote d’Ivoire
MJD,MOHENJODARO,Pakistan
MJE,MAJKIN,Marshall Islands
MJF,MOSJOEN,Norway
MJJ,MOKI,Papua New Guinea
MJK,MONKEY MIA,Australia
MJL,MOUILA,Gabon
MJM,MBUJI MAYI,"Congo, Democratic Republic of"
MJN,MAHAJANGA,Madagascar
MJO,MOUNT ETJO,Namibia
MJQ,JACKSON,United States of America
MJT,MYTILINI,Greece
MJU,MAMUJU,Indonesia
MJV,MURCIA,Spain and Canary Islands
MJZ,MIRNY,Russia (in Asia)
MKA,MARIANSKE LAZNE,Czech Republic
MKB,MEKAMBO,Gabon
MKC,KANSAS CITY,United States of America
MKD,CHAGNI,Ethiopia
MKE,MILWAUKEE,United States of America
MKG,MUSKEGON,United States of America
MKH,MOKHOTLONG,Lesotho
MKI,M'BOKI,Central African Rep.
MKJ,MAKOUA,Congo
MKK,HOOLEHUA,United States of America
MKL,JACKSON,United States of America
MKM,MUKAH,Malaysia
MKN,MALEKOLON,Papua New Guinea
MKO,MUSKOGEE,United States of America
MKP,MAKEMO,French Polynesia
MKQ,MERAUKE,Indonesia
MKR,MEEKATHARRA,Australia
MKS,MEKANE SELAM,Ethiopia
MKT,MANKATO,United States of America
MKU,MAKOKOU,Gabon
MKW,MANOKWARI,Indonesia
MKY,MACKAY,Australia
MKZ,MALACCA,Malaysia
MLA,MALTA,Malta
MLB,MELBOURNE,United States of America
MLC,MCALESTER,United States of America
MLE,MALE,Maldives
MLF,MILFORD,United States of America
MLG,MALANG,Indonesia
MLH,MULHOUSE,France
MLI,MOLINE,United States of America
MLL,MARSHALL,United States of America
MLM,MORELIA,Mexico
MLN,MELILLA,Spain and Canary Islands
MLO,MILOS,Greece
MLP,MALABANG,Philippines
MLQ,MALALAUA,Papua New Guinea
MLR,MILLICENT,Australia
MLS,MILES CITY,United States of America
MLU,MONROE,United States of America
MLV,MERLUNA,Australia
MLW,MONROVIA,Liberia
MLX,MALATYA,Turkey
MLY,MANLEY HOT SPRINGS,United States of America
MLZ,MELO,Uruguay
MMA,MALMO,Sweden
MMB,MEMANBETSU,Japan
MMD,MINAMIDAITO,Japan
MME,DURHAM,United Kingdom
MMF,MAMFE,Cameroon
MMG,MOUNT MAGNET,Australia
MMH,MAMMOTH LAKES,United States of America
MMJ,MATSUMOTO,Japan
MMK,MURMANSK,Russia (in Europe)
MML,MARSHALL,United States of America
MMM,MIDDLEMOUNT,Australia
MMN,STOW,United States of America
MMO,MAIO ISLAND,Cape Verde
MMP,MOMPOS,Colombia
MMQ,MBALA,Zambia
MMY,MIYAKO,Japan
MMZ,MAIMANAH,Afghanistan
MNA,MELANGGUANE,Indonesia
MNB,MUANDA,"Congo, Democratic Republic of"
MNC,NACALA,Mozambique
MNE,MUNGERANIE,Australia
MNF,MANA ISLAND,Fiji
MNG,MANINGRIDA,Australia
MNI,MONTSERRAT,Montserrat
MNJ,MANANJARY,Madagascar
MNK,MAIANA,Kiribati
MNL,MANILA,Philippines
MNM,MENOMINEE,United States of America
MNO,MANONO,"Congo, Democratic Republic of"
MNQ,MONTO,Australia
MNR,MONGU,Zambia
MNS,MANSA,Zambia
MNT,MINTO,United States of America
MNU,MAWLAMYINE,Myanmar
MNX,MANICORE,Brazil
MNY,MONO ISLAND,Solomon Islands
MNZ,MANASSAS,United States of America
MOA,MOA,Cuba
MOB,MOBILE,United States of America
MOC,MONTES CLAROS,Brazil
MOD,MODESTO,United States of America
MOE,MOMEIK,Myanmar
MOF,MAUMERE,Indonesia
MOG,MONG HSAT,Myanmar
MOI,MITIARO ISLAND,Cook Islands
MOJ,MOENGO,Suriname
MOL,MOLDE,Norway
MOM,MOUDJERIA,Mauritania
MON,MOUNT COOK,New Zealand
MOO,MOOMBA,Australia
MOQ,MORONDAVA,Madagascar
MOT,MINOT,United States of America
MOU,MOUNTAIN VILLAGE,United States of America
MOV,MORANBAH,Australia
MOW,MOSCOW,Russia (in Europe)
MOY,MONTERREY,Colombia
MOZ,MOOREA,French Polynesia
MPA,KATIMA MULILO,Namibia
MPD,MIRPUR KHAS,Pakistan
MPF,MAPODA,Papua New Guinea
MPG,MAKINI,Papua New Guinea
MPH,CATICLAN,Philippines
MPI,MAMITUPO,Panama
MPK,MOKPO,Korea (Rep. of)
MPL,MONTPELLIER,France
MPM,MAPUTO,Mozambique
MPN,MOUNT PLEASANT,Falkland Islands
MPP,MULATUPO,Panama
MPT,MALIANA,Timor Leste
MPU,MAPUA,Papua New Guinea
MPV,BARRE,United States of America
MPV,MONTPELIER,United States of America
MPW,MARIUPOL,Ukraine
MPX,MIYANMIN,Papua New Guinea
MQB,MACOMB,United States of America
MQC,MIQUELON,St. Pierre and Miquelon
MQD,MAQUINCHAO,Argentina
MQF,MAGNITOGORSK,Russia (in Asia)
MQH,MINACU,Brazil
MQI,QUINCY,United States of America
MQL,MILDURA,Australia
MQM,MARDIN,Turkey
MQN,MO I RANA,Norway
MQQ,MOUNDOU,Chad
MQS,MUSTIQUE ISLAND,St. Vincent and the Grenadines
MQT,MARQUETTE,United States of America
MQU,MARIQUITA,Colombia
MQX,MEKELE,Ethiopia
MQZ,MARGARET RIVER,Australia
MRA,MISURATA,Libya
MRD,MERIDA,Venezuela
MRE,MASAI MARA,Kenya
MRG,MAREEBA,Australia
MRK,MARCO ISLAND,United States of America
MRM,MANARE,Papua New Guinea
MRO,MASTERTON,New Zealand
MRQ,MARINDUQUE ISLAND,Philippines
MRR,MACARA,Ecuador
MRS,MARSEILLE,France
MRU,MAURITIUS,Mauritius
MRV,MINERALNYE VODY,Russia (in Europe)
MRY,CARMEL,United States of America
MRY,MONTEREY,United States of America
MRZ,MOREE,Australia
MSA,MUSKRAT DAM,Canada
MSC,MESA,United States of America
MSD,MOUNT PLEASAN,United States of America
MSE,MANSTON,United Kingdom
MSG,MATSAILE,Lesotho
MSH,MASIRAH,Oman
MSJ,MISAWA,Japan
MSL,FLORENCE,United States of America
MSL,MUSCLE SHOALS,United States of America
MSL,SHEFFIELD,United States of America
MSN,MADISON,United States of America
MSO,MISSOULA,United States of America
MSP,MINNEAPOLIS,United States of America
MSP,ST PAUL,United States of America
MSQ,MINSK,Belarus
MSR,MUS,Turkey
MSS,MASSENA,United States of America
MST,MAASTRICHT,Netherlands
MSU,MASERU,Lesotho
MSV,MONTICELLO,United States of America
MSW,MASSAWA,Eritrea
MSX,MOSSENDJO,Congo
MSY,NEW ORLEANS,United States of America
MSZ,NAMIBE,Angola
MTB,MONTELIBANO,Colombia
MTE,MONTE ALEGRE,Brazil
MTF,MIZAN TEFERI,Ethiopia
MTG,MATO GROSSO,Brazil
MTH,MARATHON,United States of America
MTI,MOSTEIROS,Cape Verde
MTJ,MONTROSE,United States of America
MTK,MAKIN,Kiribati
MTL,MAITLAND,Australia
MTM,METLAKATLA,United States of America
MTO,MATTOON/CHARLESTON,United States of America
MTP,MONTAUK,United States of America
MTQ,MITCHELL,Australia
MTR,MONTERIA,Colombia
MTS,MANZINI,Eswatini
MTT,MINATITLAN,Mexico
MTV,MOTA LAVA ISLAND,Vanuatu
MTW,MANITOWOC,United States of America
MTY,MONTERREY,Mexico
MTZ,MASADA,Israel
MUA,MUNDA,Solomon Islands
MUB,MAUN,Botswana
MUC,MUNICH,Germany
MUE,KAMUELA,United States of America
MUF,MUTING,Indonesia
MUG,MULEGE,Mexico
MUH,MERSA MATRUH,Egypt
MUJ,MUI,Ethiopia
MUK,MAUKE ISLAND,Cook Islands
MUM,MUMIAS,Kenya
MUN,MATURIN,Venezuela
MUR,MARUDI,Malaysia
MUW,MASCARA,Algeria
MUX,MULTAN,Pakistan
MUZ,MUSOMA,Tanzania
MVA,MYVATN,Iceland
MVB,FRANCEVILLE,Gabon
MVD,MONTEVIDEO,Uruguay
MVF,MOSSORO,Brazil
MVH,MACKSVILLE,Australia
MVJ,MANDEVILLE,Jamaica
MVL,STOWE,United States of America
MVM,KAYENTA,United States of America
MVN,MOUNT VERNON,United States of America
MVO,MONGO,Chad
MVP,MITU,Colombia
MVQ,MOGILEV,Belarus
MVR,MAROUA,Cameroon
MVS,MUCURI,Brazil
MVT,MATAIVA,French Polynesia
MVU,MUSGRAVE,Australia
MVV,MEGEVE,France
MVX,MINVOUL,Gabon
MVY,MARTHA'S VINEYARD,United States of America
MVZ,MASVINGO,Zimbabwe
MWA,MARION,United States of America
MWD,MIANWALI,Pakistan
MWE,MEROWE,Sudan
MWF,MAEWO ISLAND,Vanuatu
MWG,MARAWAKA,Papua New Guinea
MWH,MOSES LAKE,United States of America
MWI,MARAMUNI,Papua New Guinea
MWJ,MATTHEWS RIDGE,Guyana
MWP,MOUNTAIN SCENIC,Nepal
MWQ,MAGWAY,Myanmar
MWT,MOOLAWATANA,Australia
MWU,MUSSAU,Papua New Guinea
MWV,MONDULKIRI,Cambodia
MWW,MOUSCRON,Belgium
MWX,MUAN,Korea (Rep. of)
MWY,MIRANDA DOWNS,Australia
MWZ,MWANZA,Tanzania
MXB,MASAMBA,Indonesia
MXG,MARLBOROUGH,United States of America
MXH,MORO,Papua New Guinea
MXJ,MINNA,Nigeria
MXK,MINDIK,Papua New Guinea
MXL,MEXICALI,Mexico
MXM,MOROMBE,Madagascar
MXN,MORLAIX,France
MXS,MAOTA,Samoa
MXT,MAINTIRANO,Madagascar
MXU,MULLEWA,Australia
MXX,MORA,Sweden
MXY,MCCARTHY,United States of America
MXZ,MEIXIAN,"China, People’s Republic of"
MYA,MORUYA,Australia
MYB,MAYUMBA,Gabon
MYC,MARACAY,Venezuela
MYD,MALINDI,Kenya
MYE,MIYAKEJIMA,Japan
MYG,MAYAGUANA,Bahamas
MYH,MARBLE CANYON,United States of America
MYI,MURRAY ISLAND,Australia
MYJ,MATSUYAMA,Japan
MYK,MAY CREEK,United States of America
MYM,MONKEY MOUNTAIN,Guyana
MYN,MARIB,Yemen
MYP,MARY,Turkmenistan
MYQ,MYSORE,India (including Andaman Isl.)
MYR,MYRTLE BEACH,United States of America
MYS,MOYALE,Ethiopia
MYT,MYITKYINA,Myanmar
MYU,MEKORYUK,United States of America
MYV,MARYSVILLE,United States of America
MYW,MTWARA,Tanzania
MYX,MENYAMYA,Papua New Guinea
MYY,MIRI,Malaysia
MYZ,MONKEY BAY,Malawi
MZA,MAZAMARI,Peru
MZB,MOCIMBOA DA PRAIA,Mozambique
MZC,MITZIC,Gabon
MZD,MENDEZ,Ecuador
MZF,MZAMBA (WILD COAST SUN),South Africa
MZG,MAGONG,Chinese Taipei
MZH,MERZIFON,Turkey
MZI,MOPTI,Mali
MZK,MARAKEI,Kiribati
MZL,MANIZALES,Colombia
MZN,MINJ,Papua New Guinea
MZO,MANZANILLO,Cuba
MZP,MOTUEKA,New Zealand
MZR,MAZAR-E-SHARIF,Afghanistan
MZT,MAZATLAN,Mexico
MZV,MULU,Malaysia
MZW,MECHERIA,Algeria
MZX,MENA,Ethiopia
MZZ,MARION,United States of America
NAA,NARRABRI,Australia
NAD,MACANAL,Colombia
NAE,NATITINGOU,Benin
NAG,NAGPUR,India (including Andaman Isl.)
NAH,TAHUNA,Indonesia
NAI,ANNAI,Guyana
NAJ,NAKCHIVAN,Azerbaijan
NAK,NAKHON RATCHASIMA,Thailand
NAL,NALCHIK,Russia (in Europe)
NAM,NAMLEA,Indonesia
NAN,NADI,Fiji
NAO,NANCHONG,"China, People’s Republic of"
NAP,NAPLES,Italy
NAQ,QAANAAQ,Greenland
NAR,PUERTO NARE,Colombia
NAS,NASSAU,Bahamas
NAT,NATAL,Brazil
NAU,NAPUKA,French Polynesia
NAV,NEVSEHIR,Turkey
NAW,NARATHIWAT,Thailand
NBB,BARRANCO MINAS,Colombia
NBC,NIZHNEKAMSK,Russia (in Europe)
NBE,ENFIDHA,Tunisia
NBO,NAIROBI,Kenya
NBS,BAISHAN,"China, People’s Republic of"
NBV,CANA BRAVA,Brazil
NBX,NABIRE,Indonesia
NCA,NORTH CAICOS,Turks and Caicos Islands
NCE,NICE,France
NCH,NACHINGWEA,Tanzania
NCI,NECOCLI,Colombia
NCL,NEWCASTLE,United Kingdom
NCN,CHENEGA,United States of America
NCP,ANGELES/MABALACAT,Philippines
NCS,NEWCASTLE,South Africa
NCU,NUKUS,Uzbekistan
NCY,ANNECY,France
NDA,BANDA ISLAND,Indonesia
NDB,NOUADHIBOU,Mauritania
NDC,NANDED,India (including Andaman Isl.)
NDD,SUMBE,Angola
NDE,MANDERA,Kenya
NDG,QIQIHAR,"China, People’s Republic of"
NDI,NAMUDI,Papua New Guinea
NDJ,N'DJAMENA,Chad
NDK,NAMDRIK ISLAND,Marshall Islands
NDL,NDELE,Central African Rep.
NDM,MENDI,Ethiopia
NDN,NADUNUMU,Papua New Guinea
NDR,NADOR,Morocco
NDS,SANDSTONE,Australia
NDU,RUNDU,Namibia
NDY,SANDAY,United Kingdom
NDZ,NORDHOLZ-SPIEKA,Germany
NEC,NECOCHEA,Argentina
NEF,NEFTEKAMSK,Russia (in Europe)
NEG,NEGRIL,Jamaica
NEJ,NEJO,Ethiopia
NEK,NEKEMTE,Ethiopia
NER,NERYUNGRI,Russia (in Asia)
NEU,SAM NEUA,Lao People’s Dem. Rep.
NEV,NEVIS,St. Kitts and Nevis
NFG,NEFTEYUGANSK,Russia (in Asia)
NFO,NIUAFO'OU,Tonga
NGA,YOUNG,Australia
NGB,NINGBO,"China, People’s Republic of"
NGD,ANEGADA,"Virgin Islands, (British)"
NGE,NGAOUNDERE,Cameroon
NGI,GAU ISLAND,Fiji
NGL,NGALA,South Africa
NGO,NAGOYA,Japan
NGQ,SHIQUANHE,"China, People’s Republic of"
NGR,NIGERUM,Papua New Guinea
NGS,NAGASAKI,Japan
NGX,MANANG,Nepal
NHA,NHA TRANG,Vietnam
NHF,NEW HALFA,Sudan
NHV,NUKU HIVA,French Polynesia
NIA,NIMBA,Liberia
NIB,NIKOLAI,United States of America
NIC,NICOSIA,Cyprus
NIE,NIBLACK,United States of America
NIG,NIKUNAU,Kiribati
NIM,NIAMEY,Niger
NIO,NIOKI,"Congo, Democratic Republic of"
NIU,NIAU,French Polynesia
NIX,NIORO DU SAHEL,Mali
NJC,NIZHNEVARTOVSK,Russia (in Asia)
NJF,AL NAJAF,Iraq
NJJ,NENJIANG,"China, People’s Republic of"
NKC,NOUAKCHOTT,Mauritania
NKG,NANJING,"China, People’s Republic of"
NKI,NAUKITI BAY,United States of America
NKL,KOLO,"Congo, Democratic Republic of"
NKN,NANKINA,Papua New Guinea
NKT,SIRNAK,Tokelau
NKU,NKAU,Lesotho
NKV,NICHEN COVE,United States of America
NKY,NKAYI,Congo
NLA,NDOLA,Zambia
NLD,NUEVO LAREDO,Mexico
NLF,DARNLEY ISLAND,Australia
NLG,NELSON LAGOON,United States of America
NLH,NINGLANG,"China, People’s Republic of"
NLK,NORFOLK ISLAND,Norfolk Island
NLL,NULLAGINE,Australia
NLP,NELSPRUIT,South Africa
NLS,NICHOLSON,Australia
NLT,XINYUAN,"China, People’s Republic of"
NLV,MIKOLAIV,Ukraine
NMA,NAMANGAN,Uzbekistan
NMB,DAMAN,India (including Andaman Isl.)
NMC,NORMAN'S CAY,Bahamas
NME,NIGHTMUTE,United States of America
NMG,SAN MIGUEL,Panama
NMS,NANSANG,Myanmar
NMT,NAMTU,Myanmar
NNB,SANTA ANA ISLAND,Solomon Islands
NNG,NANNING,"China, People’s Republic of"
NNI,NAMUTONI,Namibia
NNK,NAKNEK,United States of America
NNL,NONDALTON,United States of America
NNM,NARYAN-MAR,Russia (in Europe)
NNT,NAN,Thailand
NNU,NANUQUE,Brazil
NNX,NUNUKAN,Indonesia
NNY,NANYANG,"China, People’s Republic of"
NOA,NOWRA,Australia
NOB,NOSARA,Costa Rica
NOC,KNOCK,Ireland
NOE,NORDDEICH,Germany
NOG,NOGALES,Mexico
NOJ,NOYABRSK,Russia (in Asia)
NOM,NOMAD RIVER,Papua New Guinea
NON,NONOUTI,Kiribati
NOO,NAORO,Papua New Guinea
NOP,SINOP,Turkey
NOR,NORDFJORDUR,Iceland
NOS,NOSY-BE,Madagascar
NOT,NOVATO,United States of America
NOU,NOUMEA,New Caledonia (including Loyalty Islands)
NOV,HUAMBO,Angola
NOZ,NOVOKUZNETSK,Russia (in Asia)
NPE,NAPIER-HASTINGS,New Zealand
NPG,NIPA,Papua New Guinea
NPH,NEPHI,United States of America
NPL,NEW PLYMOUTH,New Zealand
NPT,NEWPORT,United States of America
NPY,MPANDA,Tanzania
NQL,NIQUELANDIA,Brazil
NQN,NEUQUEN,Argentina
NQT,NOTTINGHAM,United Kingdom
NQU,NUQUI,Colombia
NQY,NEWQUAY,United Kingdom
NQZ,NUR-SULTAN,Kazakhstan
NRA,NARRANDERA,Australia
NRD,NORDERNEY,Germany
NRK,NORRKOPING,Sweden
NRL,NORTH RONALDSAY,United Kingdom
NRM,NARA,Mali
NSA,NOOSA,Australia
NSH,NOW SHAHR,Iran (Islamic Republic of)
NSK,NORILSK,Russia (in Asia)
NSM,NORSEMAN,Australia
NSN,NELSON,New Zealand
NSO,SCONE,Australia
NST,NAKHON SI THAMMARAT,Thailand
NTA,NATADOLA,Fiji
NTB,NOTTODEN,Norway
NTE,NANTES,France
NTG,NANTONG,"China, People’s Republic of"
NTI,BINTUNI,Indonesia
NTJ,MANTI,United States of America
NTL,NEWCASTLE,Australia
NTM,MIRACEMA DO TOCANTINS,Brazil
NTN,NORMANTON,Australia
NTO,SANTO ANTAO ISLAND,Cape Verde
NTQ,WAJIMA,Japan
NTT,NIUATOPUTAPU,Tonga
NTY,SUN CITY,South Africa
NUB,NUMBULWAR,Australia
NUD,EN NAHUD,Sudan
NUE,NUREMBERG,Germany
NUI,NUIQSUT,United States of America
NUK,NUKUTAVAKE,French Polynesia
NUL,NULATO,United States of America
NUP,NUNAPITCHUK,United States of America
NUR,NULLARBOR,Australia
NUS,NORSUP,Vanuatu
NUT,NUTUVE,Papua New Guinea
NUX,NOVY URENGOY,Russia (in Asia)
NVA,NEIVA,Colombia
NVI,NAVOI,Uzbekistan
NVK,NARVIK,Norway
NVR,NOVGOROD,Russia (in Europe)
NVT,NAVEGANTES,Brazil
NVY,NEYVELI,India (including Andaman Isl.)
NWA,MOHELI,Comoros
NWI,NORWICH,United Kingdom
NWT,NOWATA,Papua New Guinea
NYA,NYAGAN,Russia (in Asia)
NYC,NEW YORK,United States of America
NYE,NYERI,Kenya
NYI,SUNYANI,Ghana
NYK,NANYUKI,Kenya
NYM,NADYM,Russia (in Asia)
NYN,NYNGAN,Australia
NYT,NAY PYI TAW,Myanmar
NYU,BAGAN/NYAUNG-U,Myanmar
NZE,NZEREKORE,Guinea
NZH,MANZHOULI,"China, People’s Republic of"
OAG,ORANGE,Australia
OAI,BAGRAM,Afghanistan
OAJ,JACKSONVILLE,United States of America
OAK,OAKLAND,United States of America
OAL,CACOAL,Brazil
OAM,OAMARU,New Zealand
OAN,OLANCHITO,Honduras
OAX,OAXACA,Mexico
OBC,OBOCK,Djibouti
OBD,OBANO,Indonesia
OBF,OBERPFAFFENHOFEN,Germany
OBM,MOROBE,Papua New Guinea
OBN,OBAN,United Kingdom
OBO,OBIHIRO,Japan
OBS,AUBENAS,France
OBU,KOBUK,United States of America
OBX,OBO,Papua New Guinea
OBY,ITTOQQORTOORMIIT,Greenland
OCA,KEY LARGO,United States of America
OCC,COCA,Ecuador
OCE,OCEAN CITY,United States of America
OCF,OCALA,United States of America
OCH,NACOGDOCHES,United States of America
OCI,OCEANIC,United States of America
OCJ,OCHO RIOS,Jamaica
OCM,BOOLEEDA,Australia
OCV,OCANA,Colombia
ODA,OUADDA,Central African Rep.
ODB,CORDOBA,Spain and Canary Islands
ODD,OODNADATTA,Australia
ODE,ODENSE,Denmark
